monarchrunid,ctmmlabel,ctmmsuccess,map,year,monarchid,runid,releasesiteid_arcmap,releasesiteid_repid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,15mindud,dudtime,finaldud,Responsiveness,Release,releaselandclass,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing,total.distance,stepover50,stepclass50,numstepsover50,stepover100,avgstep,turnstdev,step01,step02,step03,step04,step05,step06,step07,step08,step09,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23,step24,step25,step26,step27,step28,step29,step30,step31,step32,step33,step34,step35,turn01,turn02,turn03,turn04,turn05,turn06,turn07,turn08,turn09,turn10,turn11,turn12,turn13,turn14,turn15,turn16,turn17,turn18,turn19,turn20,turn21,turn22,turn23,turn24,turn25,turn26,turn27,turn28,turn29,turn30,turn31,turn32,turn33,turn34,bearing01,bearing02,bearing03,bearing04,bearing05,bearing06,bearing07,bearing08,bearing09,bearing10,bearing11,bearing12,bearing13,bearing14,bearing15,bearing16,bearing17,bearing18,bearing19,bearing20,bearing21,bearing22,bearing23,bearing24,bearing25,bearing26,bearing27,bearing28,bearing29,bearing30,bearing31,bearing32,bearing33,bearing34,bearing35,windbearing,remaincross,freqcross,timebefore50mstep,timebeforecross,totalpts,croppts,edge5mpts,poorpts,richpts,totaltime,croptime,edge5mtime,poortime,richtime,firstbigsteplength,durationtofirstbigstep,stepspriortofirstbig,bigcrossfrom,bigcrossto,biginitiatefromrelease
19144a,ch,dud,dud,2019,19144,a,,,NA,GM,7/24/2019,0.3391,7/28/2019,4,GM,y,none,NA,,habitatutilization,73.5,23.05555556,mostly cloudy,3.5,5.6315,NNE,8:18,8:33,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,,,,,,,,,,,,,,,,,,,,
19157a,cn,dud,dud,2019,19157,a,,,NA,GM,7/30/2019,0.3537,8/1/2019,2,GM,y,transmitter,13,straight,habitatutilization,81.4,27.44444444,mostly cloudy,0.4,0.6436,N,9:20,9:35,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
19159a,cp,dud,dud,2019,19159,a,,,NA,GM,7/31/2019,0.4331,8/1/2019,1,GM,y,transmitter,13,straight,habitatutilization,89.4,31.88888889,mostly clear,0.4,0.6436,N,10:35,10:50,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
19160a,cq,dud,dud,2019,19160,a,,,NA,GM,7/31/2019,0.261,8/1/2019,1,GM,y,transmitter,13,straight,habitatutilization,94.7,34.83333333,mostly cloudy,1.5,2.4135,N,11:04,11:19,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
19196a,dy,dud,dud,2019,19196,a,,,NA,GM,8/7/2019,0.4306,8/9/2019,2,GM,y,transmitter,16,straight,habitatutilization,66.6,19.22222222,mostly clear,0,0,SW,8:47,9:02,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
19174b,dd,dud,dud,2019,19174,b,8,,NA,GM,8/4/2019,0.4384,8/5/2019,1,GM,y,none,NA,,habitatutilization,70,21.11111111,mostly cloudy,2,3.218,N,7:47,8:02,0:15:00,900,0,,dud,15,dud,Unresponsive,grass,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
19178b,dh,dud,dud,2019,19178,b,,,NA,GM,8/5/2019,0.28887,8/6/2019,1,GM,y,none,NA,,habitatutilization,73.2,22.88888889,mostly cloudy,0.6,0.9654,S,8:30,8:45,0:15:00,900,0,,dud,15,dud,Unresponsive,grass,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,,,,,,,,,,,,,,,,,,,,
19028a,ad,dud,dud,2019,19028,a,,,NA,GM,6/28/2019,0.3058,7/2/2019,4,GM,y,none,NA,,habitatutilization,77.4,25.22222222,cloudy,0,0,E,9:50,10:05,0:15:00,900,0,,dud,15,dud,Unresponsive,prairie,rich,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,,,,,,,,,,,,,,,,,,,,
19040a,af,dud,dud,2019,19040,a,,,NA,Jesse,6/30/2019,NA,7/2/2019,2,GM,n,none,NA,,habitatutilization,85.8,29.88888889,clear,0,0,E,9:25:00,9:40:00,0:15:00,900,0,,dud,15,dud,Unresponsive,prairie,rich,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,,,,,,,,,,,,,,,,,,,,
19053a,ao,dud,dud,2019,19053,a,,,NA,GM,7/15/2019,0.2727,7/16/2019,1,GM,y,transmitter,90,bent,habitatutilization,77.7,25.38888889,mostly clear,4,6.436,NNE,9:45,10:00,0:15:00,900,0,,dud,15,dud,Unresponsive,prairie,rich,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,,,,,,,,,,,,,,,,,,,,
19071a,at,dud,dud,2019,19071,a,,,NA,GM,7/17/2019,0.2483,7/19/2019,2,GM,y,transmitter,89,bent,habitatutilization,87.5,30.83333333,clear,5.5,8.8495,NE,10:13,10:28,0:15:00,900,0,,dud,15,dud,Unresponsive,prairie,rich,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,,,,,,,,,,,,,,,,,,,,
19072a,au,dud,dud,2019,19072,a,,,NA,GM,7/17/2019,0.2119,7/19/2019,2,GM,y,transmitter,89,bent,habitatutilization,92.9,33.83333333,clear,4.4,7.0796,NE,10:35,10:50,0:15:00,900,0,,dud,15,dud,Unresponsive,prairie,rich,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,,,,,,,,,,,,,,,,,,,,
19077a,ax,dud,dud,2019,19077,a,,,NA,GM,7/18/2019,0.2003,7/20/2019,2,GM,y,transmitter,89,bent,habitatutilization,84.6,29.22222222,cloudy,4.1,6.5969,NE,10:00,10:15:00,0:15:00,900,0,,dud,15,dud,Unresponsive,prairie,rich,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,,,,,,,,,,,,,,,,,,,,
19149a,cj,yes,yes,2019,19149,a,,,NA,GM,7/26/2019,NA,7/28/2019,2,GM,y,transmitter,12,bent,habitatutilization,79.4,26.33333333,mostly cloudy,3.8,6.1142,N,10:11,10:16,0:05:00,300,0,,dud,5,dud,Unresponsive,prairie,rich,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
20026a,em,dud,dud,2020,20026,a,,,2,jesse,6/27/2020,NA,6/29/2020,2,west,n,none,NA,,roadside,82.5,28.05555556,mostly cloudy,8.9,14.3201,N,9:24:00,9:39:00,0:15:00,900,0,,dud,15,dud,Unresponsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
20028a,en,dud,dud,2020,20028,a,,,2,jesse,6/27/2020,0.169,6/30/2020,3,west,n,transmitter,164.2,straight,roadside,73,22.77777778,mostly cloudy,1.5,2.4135,N,6:43:00,7:15:00,0:32:00,1920,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
20029a,eo,dud,dud,2020,20029,a,,,2,jesse,6/27/2020,0.1775,6/30/2020,3,west,n,transmitter,164.2,straight,roadside,76,24.44444444,mostly clear,3.5,5.6315,NW,7:28:00,7:59:00,0:31:00,1860,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
20038a,ex,dud,dud,2020,20038,a,,,2,jesse,7/7/2020,0.1646,7/8/2020,1,west,n,transmitter,164.955,straight,roadside,79.5,26.38888889,clear,4,6.436,NW,7:46:00,8:18:00,0:32:00,1920,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
20039a,ez,dud,dud,2020,20039,a,,,2,ada hayden,7/7/2020,0.2285,7/8/2020,1,west,n,transmitter,164.955,straight,roadside,82,27.77777778,clear,6,9.654,NE,8:26:00,8:58:00,0:32:00,1920,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,,,,,,,,,,,,,,,,,,,,
20040a,fb,dud,dud,2020,20040,a,,,2,ada hayden,7/7/2020,0.1176,7/8/2020,1,west,n,transmitter,164.955,straight,roadside,85,29.44444444,clear,6,9.654,NE,9:10:00,9:41:00,0:31:00,1860,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,,,,,,,,,,,,,,,,,,,,
20041a,fc,dud,dud,2020,20041,a,,,2,anderson,7/7/2020,0.1374,7/8/2020,1,west,n,transmitter,164.955,straight,roadside,89,31.66666667,clear,3.1,4.9879,NE,9:51:00,10:29:00,0:38:00,2280,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,,,,,,,,,,,,,,,,,,,,
20048b,fl,dud,dud,2020,20048,b,,,2,uthe,7/12/2020,0.2316,7/13/2020,1,west,n,none,NA,,roadside,88,31.11111111,mostly clear,5.1,8.2059,NW,11:49:00,12:19:00,0:30:00,1800,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
20050b,fn,dud,dud,2020,20050,b,,,2,ad prairie,7/13/2020,0.2014,7/16/2020,3,west,n,transmitter,165.161,straight,roadside,72.1,22.27777778,mostly clear,2.6,4.1834,N,9:33:00,10:04:00,0:31:00,1860,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
20076b,gt,dud,dud,2020,20076,b,,,2,ad prairie,7/25/2020,0.2,7/29/2020,4,west,n,transmitter,165.364,straight,roadside,75,23.88888889,mostly clear,1.3,2.0917,NW,7:56:00,8:26:00,0:30:00,1800,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
20084b,hd,dud,dud,2020,20084,b,,,2,ad prairie,7/29/2020,0.1562,8/1/2020,3,west,n,transmitter,165.464,straight,roadside,80.5,26.94444444,mostly clear,3.8,6.1142,SE,12:53:00,13:23:00,0:30:00,1800,0,,dud,15,dud,Unresponsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,,,,,,,,,,,,,,,,,,,,
